Aufwärmen ohne Heizung;;;Aufwärmen mit Heizung;;
Zeit;Temperatur;Temperatur;Zeit;NiCr-Ni-Element;NiCr-Ni-Element
t / s;U / mV;; Sekunden;( mV );
12420;-3,136;-87;3729;1,073;26
12430;-3,135;-87;3732;1,077;26
12440;-3,132;-87;3735;1,082;27
12450;-3,131;-87;3738;1,086;27
12460;-3,13;-87;3741;1,091;27
12470;-3,128;-87;3744;1,096;27
12480;-3,126;-87;3747;1,1;27
12490;-3,124;-87;3750;1,104;27
12500;-3,123;-87;3753;1,109;27
12510;-3,121;-87;3756;1,114;27
12520;-3,119;-87;3759;1,118;27
12530;-3,118;-87;3762;1,123;28
12540;-3,116;-87;3765;1,127;28
12550;-3,114;-86;3768;1,131;28
12560;-3,113;-86;3771;1,136;28
12570;-3,111;-86;3774;1,14;28
12580;-3,11;-86;3777;1,145;28
12590;-3,108;-86;3780;1,149;28
12600;-3,106;-86;3783;1,154;28
12610;-3,104;-86;3786;1,158;28
12620;-3,102;-86;3789;1,163;28
12630;-3,101;-86;3792;1,168;29
12640;-3,099;-86;3795;1,172;29
12650;-3,098;-86;3798;1,177;29
12660;-3,096;-86;3801;1,181;29
12670;-3,094;-86;3804;1,186;29
12680;-3,093;-86;3807;1,19;29
12690;-3,091;-86;3810;1,195;29
12700;-3,089;-86;3813;1,199;29
12710;-3,088;-86;3816;1,204;30
12720;-3,086;-86;3819;1,209;30
12730;-3,084;-86;3822;1,213;30
12740;-3,083;-86;3825;1,218;30
12750;-3,081;-85;3828;1,222;30
12760;-3,079;-85;3831;1,227;30
12770;-3,077;-85;3834;1,231;30
12780;-3,076;-85;3837;1,236;30
12790;-3,074;-85;3840;1,24;30
12800;-3,073;-85;3843;1,245;31
12810;-3,071;-85;3846;1,249;31
12820;-3,069;-85;3849;1,254;31
12830;-3,068;-85;3852;1,258;31
12840;-3,065;-85;3855;1,262;31
12850;-3,064;-85;3858;1,267;31
12860;-3,062;-85;3861;1,272;31
12870;-3,06;-85;3864;1,276;31
12880;-3,059;-85;3867;1,28;31
12890;-3,057;-85;3870;1,285;31
12900;-3,056;-85;3873;1,289;32
12910;-3,054;-85;3876;1,294;32
12920;-3,052;-85;3879;1,298;32
12930;-3,05;-84;3882;1,302;32
12940;-3,049;-84;3885;1,307;32
12950;-3,047;-84;3888;1,311;32
12960;-3,045;-84;3891;1,316;32
12970;-3,043;-84;3894;1,32;32
12980;-3,042;-84;3897;1,325;32
12990;-3,04;-84;3900;1,329;33
13000;-3,039;-84;3903;1,333;33
13010;-3,037;-84;3906;1,338;33
13020;-3,035;-84;3909;1,343;33
13030;-3,033;-84;3912;1,347;33
13040;-3,032;-84;3915;1,351;33
13050;-3,03;-84;3918;1,356;33
13060;-3,029;-84;3921;1,361;33
13070;-3,027;-84;3924;1,365;33
13080;-3,025;-84;3927;1,369;34
13090;-3,023;-84;3930;1,374;34
13100;-3,022;-84;3933;1,378;34
13110;-3,019;-84;3936;1,383;34
13120;-3,018;-84;3939;1,388;34
13130;-3,016;-83;3942;1,392;34
13140;-3,015;-83;3945;1,396;34
13150;-3,013;-83;3948;1,4;34
13160;-3,011;-83;3951;1,405;34
13170;-3,009;-83;3954;1,41;35
13180;-3,008;-83;3957;1,415;35
13190;-3,007;-83;3960;1,419;35
13200;-3,004;-83;3963;1,423;35
13210;-3,003;-83;3966;1,428;35
13220;-3,001;-83;3969;1,432;35
13230;-2,999;-83;3972;1,436;35
13240;-2,997;-83;3975;1,441;35
13250;-2,996;-83;3978;1,445;35
13260;-2,994;-83;3981;1,45;36
13270;-2,992;-83;3984;1,454;36
13280;-2,991;-83;3987;1,459;36
13290;-2,99;-83;3990;1,463;36
13300;-2,987;-83;;;
13310;-2,985;-82;;;
13320;-2,984;-82;;;
13330;-2,982;-82;;;
13340;-2,98;-82;;;
13350;-2,979;-82;;;
13360;-2,977;-82;;;
13370;-2,975;-82;;;
13380;-2,974;-82;;;
13390;-2,972;-82;;;
13400;-2,971;-82;;;
13410;-2,968;-82;;;
13420;-2,966;-82;;;
13430;-2,965;-82;;;
13440;-2,964;-82;;;
13450;-2,962;-82;;;
13460;-2,96;-82;;;
13470;-2,959;-82;;;
13480;-2,957;-82;;;
13490;-2,956;-82;;;
13500;-2,954;-82;;;
13510;-2,952;-81;;;
13520;-2,95;-81;;;
13530;-2,949;-81;;;
13540;-2,946;-81;;;
13550;-2,946;-81;;;
13560;-2,944;-81;;;
13570;-2,943;-81;;;
13580;-2,941;-81;;;
13590;-2,94;-81;;;
13600;-2,938;-81;;;
13610;-2,936;-81;;;
13620;-2,935;-81;;;
13630;-2,934;-81;;;
13640;-2,932;-81;;;
13650;-2,93;-81;;;
13660;-2,929;-81;;;
13670;-2,929;-81;;;
13680;-2,927;-81;;;
13690;-2,926;-81;;;
13700;-2,924;-81;;;
13710;-2,922;-81;;;
13720;-2,922;-81;;;
13730;-2,92;-81;;;
13740;-2,919;-80;;;
13750;-2,917;-80;;;
13760;-2,916;-80;;;
13770;-2,915;-80;;;
13780;-2,913;-80;;;
13790;-2,912;-80;;;
13800;-2,912;-80;;;
13810;-2,91;-80;;;
13820;-2,909;-80;;;
13830;-2,908;-80;;;
13840;-2,906;-80;;;
13850;-2,905;-80;;;
13860;-2,903;-80;;;
13870;-2,901;-80;;;
13880;-2,9;-80;;;
13890;-2,899;-80;;;
13900;-2,898;-80;;;
13910;-2,897;-80;;;
13920;-2,895;-80;;;
13930;-2,894;-80;;;
13940;-2,892;-80;;;
13950;-2,891;-80;;;
13960;-2,889;-80;;;
13970;-2,888;-80;;;
13980;-2,886;-79;;;
13990;-2,885;-79;;;
14000;-2,884;-79;;;
14010;-2,882;-79;;;
14020;-2,881;-79;;;
14030;-2,879;-79;;;
14040;-2,877;-79;;;
14050;-2,875;-79;;;
14060;-2,875;-79;;;
14070;-2,873;-79;;;
14080;-2,871;-79;;;
14090;-2,87;-79;;;
14100;-2,868;-79;;;
14110;-2,867;-79;;;
14120;-2,865;-79;;;
14130;-2,863;-79;;;
14140;-2,861;-79;;;
14150;-2,86;-79;;;
14160;-2,858;-79;;;
14170;-2,857;-79;;;
14180;-2,854;-79;;;
14190;-2,853;-78;;;
14200;-2,851;-78;;;
14210;-2,849;-78;;;
14220;-2,847;-78;;;
14230;-2,845;-78;;;
14240;-2,844;-78;;;
14250;-2,841;-78;;;
14260;-2,84;-78;;;
14270;-2,838;-78;;;
14280;-2,836;-78;;;
14290;-2,834;-78;;;
14300;-2,833;-78;;;
14310;-2,831;-78;;;
14320;-2,829;-78;;;
14330;-2,827;-78;;;
14340;-2,825;-78;;;
14350;-2,823;-78;;;
14360;-2,821;-78;;;
14370;-2,819;-77;;;
14380;-2,817;-77;;;
14390;-2,815;-77;;;
14400;-2,813;-77;;;
14410;-2,811;-77;;;
14420;-2,809;-77;;;
14430;-2,808;-77;;;
14440;-2,806;-77;;;
14450;-2,804;-77;;;
14460;-2,802;-77;;;
14470;-2,8;-77;;;
14480;-2,799;-77;;;
14490;-2,797;-77;;;
14500;-2,795;-77;;;
14510;-2,793;-77;;;
14520;-2,791;-77;;;
14530;-2,79;-77;;;
14540;-2,788;-77;;;
14550;-2,786;-76;;;
14560;-2,785;-76;;;
14570;-2,782;-76;;;
14580;-2,781;-76;;;
14590;-2,779;-76;;;
14600;-2,777;-76;;;
14610;-2,775;-76;;;
14620;-2,774;-76;;;
14630;-2,772;-76;;;
14640;-2,77;-76;;;
14650;-2,768;-76;;;
14660;-2,766;-76;;;
14670;-2,765;-76;;;
14680;-2,763;-76;;;
14690;-2,761;-76;;;
14700;-2,759;-76;;;
14710;-2,757;-76;;;
14720;-2,756;-76;;;
14730;-2,754;-75;;;
14740;-2,752;-75;;;
14750;-2,751;-75;;;
14760;-2,749;-75;;;
14770;-2,747;-75;;;
14780;-2,745;-75;;;
14790;-2,743;-75;;;
14800;-2,742;-75;;;
14810;-2,74;-75;;;
14820;-2,738;-75;;;
14830;-2,737;-75;;;
14840;-2,735;-75;;;
14850;-2,733;-75;;;
14860;-2,732;-75;;;
14870;-2,73;-75;;;
14880;-2,729;-75;;;
14890;-2,726;-75;;;
14900;-2,725;-75;;;
14910;-2,723;-75;;;
14920;-2,721;-75;;;
14930;-2,72;-74;;;
14940;-2,718;-74;;;
14950;-2,716;-74;;;
14960;-2,715;-74;;;
14970;-2,713;-74;;;
14980;-2,711;-74;;;
14990;-2,709;-74;;;
15000;-2,708;-74;;;
15010;-2,706;-74;;;
15020;-2,704;-74;;;
15030;-2,702;-74;;;
15040;-2,701;-74;;;
15050;-2,699;-74;;;
15060;-2,698;-74;;;
15070;-2,696;-74;;;
15080;-2,694;-74;;;
15090;-2,692;-74;;;
15100;-2,691;-74;;;
15110;-2,689;-74;;;
15120;-2,687;-73;;;
15130;-2,686;-73;;;
15140;-2,684;-73;;;
15150;-2,683;-73;;;
15160;-2,681;-73;;;
15170;-2,679;-73;;;
15180;-2,677;-73;;;
15190;-2,676;-73;;;
15200;-2,674;-73;;;
15210;-2,673;-73;;;
15220;-2,67;-73;;;
15230;-2,669;-73;;;
15240;-2,667;-73;;;
15250;-2,666;-73;;;
15260;-2,664;-73;;;
15270;-2,661;-73;;;
15280;-2,66;-73;;;
15290;-2,659;-73;;;
15300;-2,657;-73;;;
15310;-2,655;-73;;;
15320;-2,654;-73;;;
15330;-2,652;-72;;;
15340;-2,65;-72;;;
15350;-2,649;-72;;;
15360;-2,648;-72;;;
15370;-2,646;-72;;;
15380;-2,644;-72;;;
15390;-2,643;-72;;;
15400;-2,641;-72;;;
15410;-2,64;-72;;;
15420;-2,638;-72;;;
15430;-2,637;-72;;;
15440;-2,635;-72;;;
15450;-2,633;-72;;;
15460;-2,631;-72;;;
15470;-2,63;-72;;;
15480;-2,628;-72;;;
15490;-2,627;-72;;;
15500;-2,625;-72;;;
15510;-2,623;-72;;;
15520;-2,622;-72;;;
15530;-2,621;-72;;;
15540;-2,619;-71;;;
15550;-2,617;-71;;;
15560;-2,616;-71;;;
15570;-2,615;-71;;;
15580;-2,613;-71;;;
15590;-2,612;-71;;;
15600;-2,611;-71;;;
15610;-2,609;-71;;;
15620;-2,608;-71;;;
15630;-2,607;-71;;;
15640;-2,605;-71;;;
15650;-2,604;-71;;;
15660;-2,602;-71;;;
15670;-2,601;-71;;;
15680;-2,599;-71;;;
15690;-2,598;-71;;;
15700;-2,597;-71;;;
15710;-2,595;-71;;;
15720;-2,594;-71;;;
15730;-2,594;-71;;;
15740;-2,592;-71;;;
15750;-2,59;-71;;;
15760;-2,589;-71;;;
15770;-2,588;-71;;;
15780;-2,586;-70;;;
15790;-2,585;-70;;;
15800;-2,583;-70;;;
15810;-2,582;-70;;;
15820;-2,581;-70;;;
15830;-2,579;-70;;;
15840;-2,578;-70;;;
15850;-2,577;-70;;;
15860;-2,575;-70;;;
15870;-2,574;-70;;;
15880;-2,572;-70;;;
15890;-2,571;-70;;;
15900;-2,569;-70;;;
15910;-2,568;-70;;;
15920;-2,566;-70;;;
15930;-2,565;-70;;;
15940;-2,563;-70;;;
15950;-2,562;-70;;;
15960;-2,56;-70;;;
15970;-2,559;-70;;;
15980;-2,557;-70;;;
15990;-2,555;-70;;;
16000;-2,553;-70;;;
16010;-2,552;-69;;;
16020;-2,55;-69;;;
16030;-2,549;-69;;;
16040;-2,547;-69;;;
16050;-2,546;-69;;;
16060;-2,544;-69;;;
16070;-2,542;-69;;;
16080;-2,54;-69;;;
16090;-2,539;-69;;;
16100;-2,537;-69;;;
16110;-2,535;-69;;;
16120;-2,533;-69;;;
16130;-2,532;-69;;;
16140;-2,53;-69;;;
16150;-2,528;-69;;;
16160;-2,527;-69;;;
16170;-2,525;-69;;;
16180;-2,524;-69;;;
16190;-2,522;-69;;;
16200;-2,521;-69;;;
16210;-2,519;-69;;;
16220;-2,517;-68;;;
16230;-2,515;-68;;;
16240;-2,514;-68;;;
16250;-2,512;-68;;;
16260;-2,511;-68;;;
16270;-2,509;-68;;;
16280;-2,508;-68;;;
16290;-2,506;-68;;;
16300;-2,504;-68;;;
16310;-2,502;-68;;;
16320;-2,501;-68;;;
16330;-2,499;-68;;;
16340;-2,498;-68;;;
16350;-2,496;-68;;;
16360;-2,494;-68;;;
16370;-2,492;-68;;;
16380;-2,491;-68;;;
16390;-2,49;-68;;;
16400;-2,488;-68;;;
16410;-2,486;-68;;;
16420;-2,484;-67;;;
16430;-2,483;-67;;;
16440;-2,481;-67;;;
16450;-2,48;-67;;;
16460;-2,478;-67;;;
16470;-2,476;-67;;;
16480;-2,474;-67;;;
16490;-2,473;-67;;;
16500;-2,471;-67;;;
16510;-2,47;-67;;;
16520;-2,468;-67;;;
16530;-2,467;-67;;;
16540;-2,465;-67;;;
16550;-2,463;-67;;;
16560;-2,462;-67;;;
16570;-2,461;-67;;;
16580;-2,459;-67;;;
16590;-2,457;-67;;;
16600;-2,456;-67;;;
16610;-2,454;-67;;;
16620;-2,452;-67;;;
16630;-2,451;-67;;;
16640;-2,449;-66;;;
16650;-2,448;-66;;;
16660;-2,447;-66;;;
16670;-2,445;-66;;;
16680;-2,444;-66;;;
16690;-2,442;-66;;;
16700;-2,44;-66;;;
16710;-2,439;-66;;;
16720;-2,437;-66;;;
16730;-2,436;-66;;;
16740;-2,434;-66;;;
16750;-2,432;-66;;;
16760;-2,431;-66;;;
16770;-2,43;-66;;;
16780;-2,428;-66;;;
16790;-2,427;-66;;;
16800;-2,425;-66;;;
16810;-2,423;-66;;;
16820;-2,422;-66;;;
16830;-2,42;-66;;;
16840;-2,419;-66;;;
16850;-2,418;-66;;;
16860;-2,417;-66;;;
16870;-2,415;-65;;;
16880;-2,414;-65;;;
16890;-2,413;-65;;;
16900;-2,411;-65;;;
16910;-2,41;-65;;;
16920;-2,409;-65;;;
16930;-2,407;-65;;;
16940;-2,406;-65;;;
16950;-2,405;-65;;;
16960;-2,404;-65;;;
16970;-2,402;-65;;;
16980;-2,401;-65;;;
16990;-2,399;-65;;;
17000;-2,399;-65;;;
17010;-2,397;-65;;;
17020;-2,396;-65;;;
17030;-2,395;-65;;;
17040;-2,393;-65;;;
17050;-2,392;-65;;;
17060;-2,391;-65;;;
17070;-2,389;-65;;;
17080;-2,388;-65;;;
17090;-2,387;-65;;;
17100;-2,386;-65;;;
17110;-2,384;-65;;;
17120;-2,383;-65;;;
17130;-2,381;-64;;;
17140;-2,38;-64;;;
17150;-2,379;-64;;;
17160;-2,377;-64;;;
17170;-2,376;-64;;;
17180;-2,375;-64;;;
17190;-2,373;-64;;;
17200;-2,372;-64;;;
17210;-2,371;-64;;;
17220;-2,369;-64;;;
17230;-2,368;-64;;;
17240;-2,366;-64;;;
17250;-2,366;-64;;;
17260;-2,364;-64;;;
17270;-2,362;-64;;;
17280;-2,361;-64;;;
17290;-2,359;-64;;;
17300;-2,358;-64;;;
17310;-2,357;-64;;;
17320;-2,355;-64;;;
17330;-2,354;-64;;;
17340;-2,353;-64;;;
17350;-2,351;-64;;;
17360;-2,349;-64;;;
17370;-2,348;-64;;;
17380;-2,346;-63;;;
17390;-2,345;-63;;;
17400;-2,344;-63;;;
17410;-2,342;-63;;;
17420;-2,341;-63;;;
17430;-2,339;-63;;;
17440;-2,338;-63;;;
17450;-2,336;-63;;;
17460;-2,335;-63;;;
17470;-2,334;-63;;;
17480;-2,332;-63;;;
17490;-2,331;-63;;;
17500;-2,329;-63;;;
17510;-2,328;-63;;;
17520;-2,326;-63;;;
17530;-2,324;-63;;;
17540;-2,324;-63;;;
17550;-2,322;-63;;;
17560;-2,32;-63;;;
17570;-2,318;-63;;;
17580;-2,317;-63;;;
17590;-2,315;-63;;;
17600;-2,314;-63;;;
17610;-2,313;-63;;;
17620;-2,312;-63;;;
17630;-2,31;-62;;;
17640;-2,308;-62;;;
17650;-2,306;-62;;;
17660;-2,305;-62;;;
17670;-2,304;-62;;;
17680;-2,302;-62;;;
17690;-2,301;-62;;;
17700;-2,299;-62;;;
17710;-2,298;-62;;;
17720;-2,297;-62;;;
17730;-2,295;-62;;;
17740;-2,294;-62;;;
17750;-2,293;-62;;;
17760;-2,291;-62;;;
17770;-2,289;-62;;;
17780;-2,288;-62;;;
17790;-2,287;-62;;;
17800;-2,285;-62;;;
17810;-2,284;-62;;;
17820;-2,283;-62;;;
17830;-2,282;-62;;;
17840;-2,28;-62;;;
17850;-2,279;-62;;;
17860;-2,277;-61;;;
17870;-2,276;-61;;;
17880;-2,275;-61;;;
17890;-2,274;-61;;;
17900;-2,272;-61;;;
17910;-2,271;-61;;;
17920;-2,269;-61;;;
17930;-2,268;-61;;;
17940;-2,266;-61;;;
17950;-2,266;-61;;;
17960;-2,265;-61;;;
17970;-2,263;-61;;;
17980;-2,262;-61;;;
17990;-2,26;-61;;;
18000;-2,259;-61;;;
18010;-2,258;-61;;;
18020;-2,257;-61;;;
18030;-2,256;-61;;;
18040;-2,255;-61;;;
18050;-2,254;-61;;;
18060;-2,252;-61;;;
18070;-2,251;-61;;;
18080;-2,25;-61;;;
18090;-2,248;-61;;;
18100;-2,247;-61;;;
18110;-2,246;-61;;;
18120;-2,245;-61;;;
18130;-2,244;-61;;;
18140;-2,242;-60;;;
18150;-2,241;-60;;;
18160;-2,239;-60;;;
18170;-2,238;-60;;;
18180;-2,237;-60;;;
18190;-2,235;-60;;;
18200;-2,235;-60;;;
18210;-2,233;-60;;;
18220;-2,232;-60;;;
18230;-2,231;-60;;;
18240;-2,23;-60;;;
18250;-2,228;-60;;;
18260;-2,227;-60;;;
18270;-2,226;-60;;;
18280;-2,225;-60;;;
18290;-2,224;-60;;;
18300;-2,222;-60;;;
18310;-2,221;-60;;;
18320;-2,22;-60;;;
18330;-2,219;-60;;;
18340;-2,217;-60;;;
18350;-2,216;-60;;;
18360;-2,215;-60;;;
18370;-2,214;-60;;;
18380;-2,213;-60;;;
18390;-2,211;-60;;;
18400;-2,21;-60;;;
18410;-2,209;-60;;;
18420;-2,208;-60;;;
18430;-2,207;-59;;;
18440;-2,206;-59;;;
18450;-2,204;-59;;;
18460;-2,203;-59;;;
18470;-2,201;-59;;;
18480;-2,2;-59;;;
18490;-2,199;-59;;;
18500;-2,197;-59;;;
18510;-2,197;-59;;;
18520;-2,195;-59;;;
18530;-2,194;-59;;;
18540;-2,192;-59;;;
18550;-2,192;-59;;;
18560;-2,19;-59;;;
18570;-2,189;-59;;;
18580;-2,187;-59;;;
18590;-2,187;-59;;;
18600;-2,185;-59;;;
18610;-2,184;-59;;;
18620;-2,183;-59;;;
18630;-2,182;-59;;;
18640;-2,18;-59;;;
18650;-2,179;-59;;;
18660;-2,177;-59;;;
18670;-2,176;-59;;;
18680;-2,175;-59;;;
18690;-2,173;-59;;;
18700;-2,172;-58;;;
18710;-2,171;-58;;;
18720;-2,17;-58;;;
18730;-2,169;-58;;;
18740;-2,168;-58;;;
18750;-2,166;-58;;;
18760;-2,164;-58;;;
18770;-2,164;-58;;;
18780;-2,162;-58;;;
18790;-2,16;-58;;;
18800;-2,16;-58;;;
18810;-2,158;-58;;;
18820;-2,157;-58;;;
18830;-2,156;-58;;;
18840;-2,154;-58;;;
18850;-2,153;-58;;;
18860;-2,151;-58;;;
18870;-2,151;-58;;;
18880;-2,149;-58;;;
18890;-2,148;-58;;;
18900;-2,147;-58;;;
18910;-2,146;-58;;;
18920;-2,144;-58;;;
18930;-2,142;-58;;;
18940;-2,141;-58;;;
18950;-2,14;-58;;;
18960;-2,138;-58;;;
18970;-2,138;-58;;;
18980;-2,136;-57;;;
18990;-2,135;-57;;;
19000;-2,134;-57;;;
19010;-2,133;-57;;;
19020;-2,131;-57;;;
19030;-2,129;-57;;;
19040;-2,128;-57;;;
19050;-2,127;-57;;;
19060;-2,126;-57;;;
19070;-2,125;-57;;;
19080;-2,123;-57;;;
19090;-2,122;-57;;;
19100;-2,121;-57;;;
19110;-2,12;-57;;;
19120;-2,118;-57;;;
19130;-2,116;-57;;;
19140;-2,116;-57;;;
19150;-2,114;-57;;;
19160;-2,112;-57;;;
19170;-2,111;-57;;;
19180;-2,11;-57;;;
19190;-2,109;-57;;;
19200;-2,108;-57;;;
19210;-2,106;-57;;;
19220;-2,105;-57;;;
19230;-2,104;-57;;;
19240;-2,103;-57;;;
19250;-2,101;-56;;;
19260;-2,1;-56;;;
19270;-2,099;-56;;;
19280;-2,097;-56;;;
19290;-2,096;-56;;;
19300;-2,094;-56;;;
19310;-2,093;-56;;;
19320;-2,092;-56;;;
19330;-2,09;-56;;;
19340;-2,089;-56;;;
19350;-2,088;-56;;;
19360;-2,086;-56;;;
19370;-2,086;-56;;;
19380;-2,084;-56;;;
19390;-2,083;-56;;;
19400;-2,081;-56;;;
19410;-2,08;-56;;;
19420;-2,079;-56;;;
19430;-2,077;-56;;;
19440;-2,076;-56;;;
19450;-2,075;-56;;;
19460;-2,073;-56;;;
19470;-2,072;-56;;;
19480;-2,072;-56;;;
19490;-2,07;-56;;;
19500;-2,069;-56;;;
19510;-2,067;-56;;;
19520;-2,066;-55;;;
19530;-2,065;-55;;;
19540;-2,063;-55;;;
19550;-2,062;-55;;;
19560;-2,061;-55;;;
19570;-2,059;-55;;;
19580;-2,058;-55;;;
19590;-2,057;-55;;;
19600;-2,056;-55;;;
19610;-2,054;-55;;;
19620;-2,052;-55;;;
19630;-2,052;-55;;;
19640;-2,05;-55;;;
19650;-2,049;-55;;;
19660;-2,047;-55;;;
19670;-2,046;-55;;;
19680;-2,045;-55;;;
19690;-2,044;-55;;;
19700;-2,042;-55;;;
19710;-2,041;-55;;;
19720;-2,04;-55;;;
19730;-2,039;-55;;;
19740;-2,038;-55;;;
19750;-2,036;-55;;;
19760;-2,034;-55;;;
19770;-2,033;-55;;;
19780;-2,032;-55;;;
19790;-2,031;-54;;;
19800;-2,03;-54;;;
19810;-2,028;-54;;;
19820;-2,027;-54;;;
19830;-2,026;-54;;;
19840;-2,024;-54;;;
19850;-2,023;-54;;;
19860;-2,022;-54;;;
19870;-2,02;-54;;;
19880;-2,019;-54;;;
19890;-2,017;-54;;;
19900;-2,016;-54;;;
19910;-2,015;-54;;;
19920;-2,014;-54;;;
19930;-2,012;-54;;;
19940;-2,012;-54;;;
19950;-2,01;-54;;;
19960;-2,009;-54;;;
19970;-2,007;-54;;;
19980;-2,006;-54;;;
19990;-2,005;-54;;;
20000;-2,003;-54;;;
20010;-2,003;-54;;;
20020;-2;-54;;;
20030;-1,999;-54;;;
20040;-1,998;-54;;;
20050;-1,997;-54;;;
20060;-1,995;-53;;;
20070;-1,994;-53;;;
20080;-1,993;-53;;;
20090;-1,992;-53;;;
20100;-1,991;-53;;;
20110;-1,99;-53;;;
20120;-1,988;-53;;;
20130;-1,987;-53;;;
20140;-1,986;-53;;;
20150;-1,984;-53;;;
20160;-1,983;-53;;;
20170;-1,981;-53;;;
20180;-1,98;-53;;;
20190;-1,979;-53;;;
20200;-1,977;-53;;;
20210;-1,976;-53;;;
20220;-1,975;-53;;;
20230;-1,974;-53;;;
20240;-1,972;-53;;;
20250;-1,971;-53;;;
20260;-1,97;-53;;;
20270;-1,968;-53;;;
20280;-1,967;-53;;;
20290;-1,966;-53;;;
20300;-1,965;-53;;;
20310;-1,963;-53;;;
20320;-1,962;-53;;;
20330;-1,961;-53;;;
20340;-1,959;-52;;;
20350;-1,958;-52;;;
20360;-1,958;-52;;;
20370;-1,956;-52;;;
20380;-1,955;-52;;;
20390;-1,954;-52;;;
20400;-1,952;-52;;;
20410;-1,951;-52;;;
20420;-1,95;-52;;;
20430;-1,948;-52;;;
20440;-1,947;-52;;;
20450;-1,946;-52;;;
20460;-1,944;-52;;;
20470;-1,944;-52;;;
20480;-1,942;-52;;;
20490;-1,941;-52;;;
20500;-1,939;-52;;;
20510;-1,938;-52;;;
20520;-1,937;-52;;;
20530;-1,936;-52;;;
20540;-1,935;-52;;;
20550;-1,932;-52;;;
20560;-1,932;-52;;;
20570;-1,931;-52;;;
20580;-1,929;-52;;;
20590;-1,928;-52;;;
20600;-1,927;-52;;;
20610;-1,926;-52;;;
20620;-1,925;-52;;;
20630;-1,923;-51;;;
20640;-1,922;-51;;;
20650;-1,92;-51;;;
20660;-1,92;-51;;;
20670;-1,918;-51;;;
20680;-1,917;-51;;;
20690;-1,916;-51;;;
20700;-1,915;-51;;;
20710;-1,913;-51;;;
20720;-1,912;-51;;;
20730;-1,91;-51;;;
20740;-1,909;-51;;;
20750;-1,908;-51;;;
20760;-1,906;-51;;;
20770;-1,905;-51;;;
20780;-1,904;-51;;;
20790;-1,903;-51;;;
20800;-1,901;-51;;;
20810;-1,9;-51;;;
20820;-1,899;-51;;;
20830;-1,897;-51;;;
20840;-1,897;-51;;;
20850;-1,895;-51;;;
20860;-1,894;-51;;;
20870;-1,892;-51;;;
20880;-1,891;-51;;;
20890;-1,889;-51;;;
20900;-1,888;-50;;;
20910;-1,887;-50;;;
20920;-1,886;-50;;;
20930;-1,884;-50;;;
20940;-1,884;-50;;;
20950;-1,882;-50;;;
20960;-1,881;-50;;;
20970;-1,879;-50;;;
20980;-1,878;-50;;;
20990;-1,877;-50;;;
21000;-1,876;-50;;;
21010;-1,875;-50;;;
21020;-1,873;-50;;;
21030;-1,872;-50;;;
21040;-1,871;-50;;;
21050;-1,869;-50;;;
21060;-1,868;-50;;;
21070;-1,867;-50;;;
21080;-1,866;-50;;;
21090;-1,864;-50;;;
21100;-1,863;-50;;;
21110;-1,862;-50;;;
21120;-1,861;-50;;;
21130;-1,859;-50;;;
21140;-1,858;-50;;;
21150;-1,856;-50;;;
21160;-1,855;-50;;;
21170;-1,854;-50;;;
21180;-1,853;-49;;;
21190;-1,851;-49;;;
21200;-1,85;-49;;;
21210;-1,849;-49;;;
21220;-1,848;-49;;;
21230;-1,846;-49;;;
21240;-1,845;-49;;;
21250;-1,843;-49;;;
21260;-1,843;-49;;;
21270;-1,841;-49;;;
21280;-1,84;-49;;;
21290;-1,839;-49;;;
21300;-1,837;-49;;;
21310;-1,836;-49;;;
21320;-1,835;-49;;;
21330;-1,833;-49;;;
21340;-1,832;-49;;;
21350;-1,831;-49;;;
21360;-1,83;-49;;;
21370;-1,828;-49;;;
21380;-1,827;-49;;;
21390;-1,826;-49;;;
21400;-1,825;-49;;;
21410;-1,823;-49;;;
21420;-1,822;-49;;;
21430;-1,821;-49;;;
21440;-1,82;-49;;;
21450;-1,818;-49;;;
21460;-1,817;-48;;;
21470;-1,816;-48;;;
21480;-1,815;-48;;;
21490;-1,814;-48;;;
21500;-1,812;-48;;;
21510;-1,81;-48;;;
21520;-1,809;-48;;;
21530;-1,809;-48;;;
21540;-1,807;-48;;;
21550;-1,806;-48;;;
21560;-1,805;-48;;;
21570;-1,803;-48;;;
21580;-1,802;-48;;;
21590;-1,8;-48;;;
21600;-1,799;-48;;;
21610;-1,798;-48;;;
21620;-1,797;-48;;;
21630;-1,795;-48;;;
21640;-1,794;-48;;;
21650;-1,793;-48;;;
21660;-1,792;-48;;;
21670;-1,791;-48;;;
21680;-1,789;-48;;;
21690;-1,788;-48;;;
21700;-1,787;-48;;;
21710;-1,785;-48;;;
21720;-1,785;-48;;;
21730;-1,783;-48;;;
21740;-1,783;-48;;;
21750;-1,781;-47;;;
21760;-1,78;-47;;;
21770;-1,779;-47;;;
21780;-1,777;-47;;;
21790;-1,776;-47;;;
21800;-1,775;-47;;;
21810;-1,773;-47;;;
21820;-1,773;-47;;;
21830;-1,771;-47;;;
21840;-1,769;-47;;;
21850;-1,768;-47;;;
21860;-1,767;-47;;;
21870;-1,766;-47;;;
21880;-1,765;-47;;;
21890;-1,764;-47;;;
21900;-1,762;-47;;;
21910;-1,761;-47;;;
21920;-1,76;-47;;;
21930;-1,758;-47;;;
21940;-1,758;-47;;;
21950;-1,757;-47;;;
21960;-1,755;-47;;;
